0B,Blue Air Transport Aerian
0D,Darwin Airline
0V,VIETNAM AIR SERVICE
1B,BH Air
1X,Branson Air Express
2A,DEUTSCHE BAHN AG
2B,Aerocondor
2C,SNCF
2D,Dynamic Airways
2E,Smokey Bay Air
2F,Frontier Flying Service
2H,European Airlines
2I,Star Peru
2J,Air Burkina
2K,AEROGAL
2L,Helvetic Airways
2M,Moldavian Airlines
2N,Next Jet
2P,Air Philippines
2R,VIA Rail
2S,Air Carnival
2T,TruJet
2V,AMTRAK
2W,Welcome Air
2Y,Air Andaman
2Z,Passaredo Airlines
3B,Job Air
3C,Corporate Express Airlines
3D,Denim Air
3E,Air Choice One
3F,Pacific Airways
3G,Atlant-Soyuz
3H,Air Inuit
3J,JUBBA AIRWAYS
3K,JetStar Asia Airways
3L,Intersky
3M,Silver Airways
3N,Air Urga
3O,AirArabia
3P,Tiara Air
3Q,China Yunnan Airlines
3R,Avia Air
3S,Air Antilles
3T,Turan Air
3U,Sichuan Airlines
3W,Wanair
3X,Japan Air Commuter
3Z,Necon Air
4A,Royal Bengal Airline
4B,Olson Air Service
4C,Aires S.A.
4D,Air Sinai
4E,Tanana Air
4F,Air City
4G,Shenzhen Airlines
4H,Fly
4J,Somon Air
4K,Kenn Borek
4L,EuroLine
4M,LAN Argentina
4N,Air North
4O,Interjet
4P,Business Aviation
4Q,SAFI AIRWAYS
4R,Orient Eagle Airways
4S,East West Air
4T,BELAIR AIRLINES
4U,Germanwings
4V,Voyageur Airways
4W,Warbelow Air
4Z,SOUTH AFRICAN AIRLINK
5A,Alpine Aviat
5B,Tie Aviation
5C,Nature Air
5D,Aerolitoral S.A. de C.V.
5E,Base Airlines
5f,FLY ONE
5H,Fly540
5J,Cebu Pacific
5K,Odessa Airlines
5L,Aerosur
5M,Sibaviatrans
5N,Nordavia - Regional Airlines
5O,ASL Airlines France
5P,Penta Aerial Transports S/A
5Q,BQB L�neas A�reas
5R,IRS Aero
5T,Canadian North
5U,TAG - Transportes Aereos Guatemaltecos
5V,Lviv Airlines
5W,speed-alliance
5Y,Isles Scilly
6A,Aviacsa-Consorcio Aviaxsa
6C,Air Timor
6E,IndiGo
6G,Air Wales
6H,Israir
6J,Skyservice Airlinesd/b/a Roots Air
6K,Asian Spirit
6L,Aklak Air
6N,Trans Travel Airlines
6Q,Slovak Airlines
6S,SaudiGulf
6T,Air Mandalay
6U,Air Ukraine
6V,Lignes Aeriennes Congolaises
6W,Saratov Airlines
6Y,SMARTLYNX AIRLINES
7B,Atlant - Souyuz Air
7C,JEJU AIR
7D,Donbass Eastern Ukranian Airlines
7E,Sylt Air
7F,Firstair
7G,Bellair
7H,Corendon
7I,Insel Air
7J,Tajik Air
7K,Kogalymavia
7L,Aerocaribbean S. A.
7M,MAYAir
7N,PAWA DOMINICANA
7O,Galaxy Air
7Q,Air Venezuela
7R,Rusline
7S,Arctic Transportation Services
7T,Trans Cote
7V,Federal Airlines
7W,Wind Rose Aviation Company
7Y,European Aie Express
7Z,L B Limited
8A,Arctic Air
8B,Caribbean Star Airlines
8C,Shanxi Airlines
8D,Volare Airlines
8E,Bering Air
8F,Fischer Air
8G,Angel Airlines
8H,Equaflight
8I,Insel Air Aruba
8J,Jet4You
8L,LUCKY AIR
8M,Myanmar Airways
8N,Nordkalottlkyg
8O,West Coast Air
8P,Pacific Coastal
8Q,Onur Air
8R,SOL Lineas Aereas
8T,Air Tindi
8U,Afriqiyah Airways
8V,Wrightair Svc
8W,Private Wings
8Z,Laser
9A,Visa Airways
9B,ACCESRAIL
9C,SPRING AIRLINES
9D,Toumai Air Tchad
9E,Express Airlines
9F,Eurostar
9G,Galaxy Airways
9H,DUTCH Antiles Express
9I,Alliance Air
9J,Pacific Island Aviation
9K,Cape Air
9L,Colgan Air
9M,Central Mountain Air
9N,Tropic Air
9P,Pelangi Airways
9T,Transwest Air
9U,Air Moldova
9V,AVIOR AIRLINES
9W,Jet Airways
9Y,Air Kazakstan
A3,Aegean Airlines
A4,Aerocon
A5,HOP!
A6,Air Alps Aviation
A7,Air Comet
A8,Aerolineas Paraguayas
A9,Georgian Airlines
AA,American Airlines
AB,Air Berlin
AC,Air Canada
AD,Azul Linhas Airline
AE,Mandarin Airlines
AF,Air France
AG,Air Contractors
AH,Air Algerie
AI,Air India
AJ,AeroContractors
AK,AirAsia
AL,Astral Aviation
AM,Aeromexico Aeronaves De Mexico
AN,Ansett Australia
AO,Australian Airlines
AP,Air One
AQ,Aloha Airline
AR,Aerolineas Argentinas
AS,Alaska Airlines
AT,Royal Air Maroc
AU,Austral Lineas Aereas Sa
AV,AVIANCA
AW,Africa World Airlines
AX,American Connection
AY,Finnair
AZ,Alitalia
B0,LA COMPAGNIE
B2,Belavia
B3,Bhutan Airlines
B4,B.A.C.H Flugbetrieb
B5,East African Safari Air Express
B6,jetBlue
B7,Uni Airways
B8,ERITREAN AIRLINES
B9,Iran Air Tours
BA,British Airways
BB,Seaborne Aviation
BC,Skymark Airlines
BD,Flybmi
BE,Flybe
BF,Markair
BG,Biman Bangladesh Airlines
BH,Hawkair
BI,Royal Brunei Airlines
BJ,Nouvelair
BL,Pacific Airlines
BM,Aero Traporti
BN,Bahrain Air
BO,Bouraq Airlines
BP,Air Botswana
BR,Eva Airways
BS,British Intl
BT,Air Baltic
BU,Braathens ASA
BV,Blue Panorama Airlines
BW,Caribbean Airlines
BX,Air Busan
BY,Thomson Fly
BZ,Keystone Air Service
C3,Icar
C5,CommutAir
C7,Aerocontinente Chile
C8,Chicago Express Airlines
C9,Cirrus Airlines
CA,Air China
CB,ScotAirways
CC,Macair
CD,Alliance-Air
CE,Nationwide Air
CF,City Airline
CG,Milne Bay Air
CH,Bemidji Aviation
CI,China Airline
CJ,China Northern Airlines
CK,Andesmar Lineas Aereas S
CL,Lufthansa Cityline Gmbh
CM,Copa Airlines
CN,Islands Nationair
CO,COBALTAIR
CP,Canadian Airlines International
CQ,Czec Connect Airlines
CS,Continental Micronesia
CT,ALITALIA CITY LINER SPA
CU,Consolidada Cubana De Avia
CV,Air Chathams
CW,Airline Of Marshall Islands
CX,Cathay Pacific Airways
CY,Cyprus Airways
CZ,Chinasouthern
D2,Severstal Aircompany
D3,Daallo Airlines
D4,Alidaunai
D6,Inter Aviatn
D7,AirAsia X
D8,NORWEGIAN AIR INTERNATIONAL
D9,Aeroflot-Don
DB,Brittany Air International
DC,BRAATHENS REGIONAL
DD,Nokair
DE,Condor Flugdienst Gmbh
DF,Aebal
DG,Tigerair Philippines
DH,Independence
DI,Deutsche BA
DJ,AirAsia Japan
DK,Eastland Air
DL,Delta Air Lines
DM,Maersk Air
DN,Senegal Airlines
DO,Air Vallee
DP,Air 2000 Limited
DQ,Coastal Air Transport
DR,Airmediterranee
DT,Taag Linhas Aereas De Angola
DU,Hemus Air
DV,JSC Aircompany Scat
DX,Danish Air Transport
DY,NORWEGIAN AIR SHUTTLE
DZ,Transcaraibes
E2,Kampuchea Airlines
E3,Domodedovo Airlines
E4,Aero Asia International
E5,AirArabia
E6,Aviaexpresscruise Airline
E7,Equaflight Services
E8,Alpi Eagles
E9,EVELOP AIRLINES
EA,European Regions Airlines
EC,Heli Inter Riviera
ED,Ccair
EE,REGIONAL JET
EF,Far Eastern Air
EG,Japan Asia Airways
EH,ANA WINGS
EI,Aer Lingus Teoranta Aerlinte Eirean
EJ,New England Airlines
EK,Emirates Airlines
EL,Ellinair
