AAA,Anaa,GLF
AAE,Les Salines,AAE
AAL,Aalborg New,AAL
AAN,Al Ain International Airport,AAN
AAO,Anaco,AAO
AAP,ANDRAU AIRPARK,AAP
AAQ,Anapa,AAQ
AAR,Tirstrup,AAR
AAX,Araxa Airport,AAX
AAY,Al Ghaydah,AAY
ABA,Abakan,ABA
abc,abc intl,TIA
ABD,Abadan Airport,ABD
ABE,Allentown,ABE
ABF,Abaiang,ABF
ABH,Alpha Airport,ABH
ABI,Abilene Municipal,ABI
ABJ,F Houphouet Boig,ABJ
ABK,Kabri Dar,ABK
ABL,Ambler,ABL
ABM,Bamaga,ABM
ABQ,Albuquerque Int'l,ABQ
ABR,Aberdeen Municipal,ABR
ABS,Abu Simbel,ABS
ABT,Al-Baha Domestic Airport,ABT
ABU,Atambua,ABU
ABV,Nnamdi Azikiwe International Airport,ABV
ABX,Albury,ABX
ABY,Dougherty Coun,ABY
ABZ,Dyce,ABZ
ACA,Alvarez Int'l,ACA
ACB,Bellaire - Antrim County,ACB
ACC,Kotoka,ACC
ACD,Acandi,ACD
ACE,Lanzarote,ACE
ACH,Altenrhein,ACH
ACI,The Blaye,ACI
ACK,Memorial,ACK
ACR,Araracuara,ACR
ACT,Waco Municipal,ACT
ACV,Arcata Eureka,ACV
ACY,Atlantic city International ,AIY
ADA,Adana,ADA
ADB,Iadnan Menderes,IZM
ADD,Bole,ADD
ADE,Aden Int'l,ADE
ADF,Adiyaman Airport,ADF
ADI,Arandis,ADI
ADJ,Marka,AMM
ADK,Adak Island,ADK
ADL,Adelaide,ADL
ADQ,Kodiak,ADQ
ADZ,San Andres Island,ADZ
AEA,Abemama Atoll,AEA
AEG,Aek Godang,AEG
AEH,Abecher,AEH
AEO,Aioun El Atrouss,AEO
AEP,Jorge Newbery,BUE
AER,Adler Sochi,AER
AES,Vigra,AES
AEX,,AEX
AEY,Akureyri,AEY
AFA,San Rafael,AFA
AFL,Alta Floresta Mato Grosso,AFL
AGA,Agadir Almassira,AGA
AGB,Augsburg Muehlhausen,MUC
AGC,Allegheny,PIT
AGE,Wangerooge Flugplatz,AGE
AGF,La Garenne,AGF
AGH,Angelholm,AGH
AGJ,Aguni,AGJ
AGP,Málaga,AGP
AGR,Kheria,AGR
AGS,Augusta Bush Field,AGS
AGT,Guarani Intl Airport,AGT
AGU,Aguascalientes,AGU
AGV,Acarigua,AGV
AGX,Agatti Island,AGX
AGZ,Aggeneys,AGZ
AHB,Abha Regional Airport,AHB
AHO,Fertilia,AHO
AHU,Charif Al Idrissi,AHU
AIA,Alliance,AIA
AIC,Airok,AIC
AIG,Yalinga,AIG
AIM,Ailuk Island,AIM
AIN,Wainwright,AIN
AIP,Adampur Airport,AIP
AIS,Arorae Island,AIS
AIT,Aitutaki,AIT
AIU,Atiu Island,AIU
AIY,Bader Field,AIY
AJA,Campo Dell Oro,AJA
AJF,Al-Jawf Domestic Airport,AJF
AJI,Agri Airport,AJI
AJJ,Akjoujt,AJJ
AJL,Aizawl,AJL
AJN,Ouani,AJN
AJR,Arvidsjaur,AJR
AJU,Aracaju,AJU
AJY,Agades,AJY
AKD,Akola,AKD
AKF,Kufrah,AKF
AKJ,Asahikawa,AKJ
AKL,Auckland Int'l,AKL
AKM,Zakouma,AKM
AKN,King Salmon,AKN
AKR,Akure,AKR
AKX,Aktyubinsk,AKX
AKY,Sittwe Civil,AKY
ALA,Almaty,ALA
ALB,Albany,ALB
ALC,Alicante,ALC
ALF,Alta,ALF
ALG,Houari Boumediene,ALG
ALH,Albany,ALH
ALL,ALBENGA,ALL
ALM,Alamogordo Municipal,ALM
ALO,Waterloo,ALO
ALP,Nejrab,ALP
ALR,Alexandra,ALR
ALS,Alamosa Municipal,ALS
ALU,Alula,ALU
ALW,Walla Walla,ALW
ALY,Alexandria,ALY
AMA,Amarillo Internationa,AMA
AMB,Ambilobe,AMB
AMC,Am Timan,AMC
AMD,Ahmedabad,AMD
AMH,Arba Mintch,AMH
AMI,Selaparang,AMI
AMM,Queen Alia Int'l,AMM
AMO,Mao,AMO
AMP,Ampanihy,AMP
AMQ,Pattimura,AMQ
AMS,Schiphol,AMS
AMU,Amanab,AMU
AMY,Ambatomainty,AMY
AMZ,Brazil Airport One,AMZ
ANB,Anniston County,ANB
ANC,Anchorage Int'l,ANC
ANE,Angers - Marce Airport,ANE
ANF,Cerro Moreno,ANF
ANG,Brie-Champnier,ANG
ANI,Aniak,ANI
ANK,Ankara - Etimesgut,ANK
ANM,Antsirabato,ANM
ANO,Angoche,ANO
ANR,Deurne,ANR
ANS,Andahuaylas,ANS
ANU,Vc Bird Int'l,ANU
ANV,Anvik,ANV
ANX,Andenes,ANX
AOC,Altenburg - Nobitz Airport,AOC
AOD,Abou Deia,AOD
AOE,Eskisehir Anadolu,AOE
AOI,Falconara,AOI
AOJ,Aomori,AOJ
AOK,Karpathos,AOK
AOL,Paso De Los Libres,AOL
AOO,Altoona,AOO
AOR,Alor Setar,AOR
AOS,Amook,AOS
APC,Napa County,APC
APF,Naples,APF
APK,Apataki,APK
APL,Nampula,APL
APN,Alpena County Regional,APN
APO,Apartado,APO
APP,Asapa,APP
APQ,Arapiraca,APQ
APW,Faleolo,APW
